"utterance","correct_answer","rt","feature_type","response","correct_color","slide_number_in_experiment","feature","correct_material","object","workerid","Answer.time_in_minutes","label","item","speaker_cond"
"","['no']",NA,"['color']","[984, 'no']","['green']","85","['red']","['cardboard']","",1,3.75171666666667,"box_cardboard_green","['box']","list1"
"","['no']",NA,"['material']","[1169, 'no']","['clear']","86","['plastic']","['glass']","",1,3.75171666666667,"bottle_glass_original","['bottle']","list1"
"","['no']",NA,"['color']","[1055, 'no']","['black']","87","['clear']","['leather']","",1,3.75171666666667,"jacket_leather_original","['jacket']","list1"
"","['no']",NA,"['material']","[967, 'no']","['blue']","88","['leather']","['metal']","",1,3.75171666666667,"table_metal_blue","['table']","list1"
"","['no']",NA,"['material']","[1040, 'no']","['green']","89","['wood']","['plastic']","",1,3.75171666666667,"chair_plastic_green","['chair']","list1"
"","['no']",NA,"['material']","[1416, 'no']","['brown']","90","['rubber']","['leather']","",1,3.75171666666667,"boot_leather_brown","['boot']","list1"
"bot_check","",0,"","Linda","","bot_check","","","Linda",2,4.49393333333333,"","","list1"
"","['no']",NA,"['material']","['Late', '']","['silver']","practice_trial","['glass']","['metal']","",2,4.49393333333333,"ball_metal_original","['ball']","list1"
"","['yes']",NA,"['color']","[905, 'no']","['yellow']","practice_trial","['yellow']","['wood']","",2,4.49393333333333,"door_wood_yellow","['door']","list1"
"","['no']",NA,"['color']","[873, 'yes']","['blue']","practice_trial","['red']","['metal']","",2,4.49393333333333,"ruler_metal_blue","['bag']","list1"
"","['yes']",NA,"['material']","[520, 'no']","['red']","practice_trial","['plastic']","['plastic']","",2,4.49393333333333,"ball_plastic_red","['ball']","list1"
"","['yes']",NA,"['color']","[769, 'yes']","['purple']","10","['purple']","['denim']","",2,4.49393333333333,"jacket_denim_purple","['jacket']","list1"
"","['yes']",NA,"['color']","[1210, 'yes']","['silver']","11","['silver']","['metal']","",2,4.49393333333333,"spoon_metal_original","['spoon']","list1"
"","['yes']",NA,"['material']","[667, 'yes']","['green']","12","['metal']","['metal']","",2,4.49393333333333,"spoon_metal_green","['spoon']","list1"
"","['yes']",NA,"['material']","[593, 'yes']","['green']","13","['metal']","['metal']","",2,4.49393333333333,"chair_metal_green","['chair']","list1"
"","['no']",NA,"['material']","[352, 'no']","['clear']","14","['metal']","['plastic']","",2,4.49393333333333,"cup_plastic_original","['cup']","list1"
"","['no']",NA,"['color']","[575, 'yes']","['green']","15","['purple']","['paper']","",2,4.49393333333333,"bag_paper_green","['bag']","list1"
"","['yes']",NA,"['color']","[637, 'no']","['blue']","16","['blue']","['metal']","",2,4.49393333333333,"pitcher_metal_blue","['pitcher']","list1"
"","['no']",NA,"['color']","[399, 'yes']","['green']","17","['blue']","['wood']","",2,4.49393333333333,"table_wood_green","['table']","list1"
